ID,title,Year,Age,IMDb,primary_genre,Netflix,Hulu,Prime Video,Disney+,Type,Runtime_Range
312,Test,2013,18+,6.5,Mystery,0.0,0,1,0,0,90-120
313,Serenity,2019,18+,5.3,Drama,0.0,0,1,0,0,90-120
314,Killers,2010,13+,5.4,Action,0.0,0,1,0,0,90-120
315,Stone of Destiny,2008,7+,6.8,Adventure,0.0,0,1,0,0,90-120
316,The Double,2011,13+,5.9,Drama,0.0,0,1,0,0,120-180
317,Sharknado,2013,16+,3.3,Action,0.0,0,1,0,0,60-90
318,Extinction,2015,18+,5.8,Action,0.0,0,1,0,0,90-120
319,Joshua,2002,all,6.7,Drama,0.0,0,1,0,0,90-120
320,Sharknado 2: The Second One,2014,16+,4.0,Action,0.0,0,1,0,0,90-120
321,Meet the Mormons,2014,7+,6.9,Documentary,0.0,0,1,0,0,60-90
322,Walt Before Mickey,2015,all,5.9,Biography,0.0,0,1,0,0,90-120
323,Final Girl,2015,18+,4.7,Horror,0.0,0,1,0,0,60-90
324,Sundown,2016,18+,5.4,Action,0.0,0,1,0,0,90-120
325,Vidal Sassoon: The Movie,2010,7+,6.5,Documentary,0.0,0,1,0,0,60-90
326,Jinn,2014,13+,4.2,Fantasy,0.0,0,1,0,0,90-120
327,Cars 3,2017,all,6.7,Animation,0.0,0,0,1,0,90-120
328,Olaf's Frozen Adventure,2017,all,5.5,Animation,0.0,0,0,1,0,0-30
329,Thumbelina,1994,all,6.3,Animation,0.0,0,0,1,0,60-90
330,Roving Mars,2006,7+,7.2,Documentary,0.0,0,0,1,0,30-60
331,I'll Be Home for Christmas,1998,all,5.5,Comedy,0.0,0,0,1,0,60-90
