title,year,certificate,duration,genre,rating,description,stars,votes,ID,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime,primary_genre
A Week in Watts,(2018),,91 min,Documentary,6.2,"A Week in Watts is a feature length documentary that tells the story of six students in Watts, Los Angeles, involved in a program called Operation Progress - which gives youth scholarships ...                See full summary »","['Gregory Caruso', '| ', '    Stars:', 'Emada Tingirides, ', 'John Coughlin, ', 'Erik Shear, ', 'Eric Ortiz']",197,2041,2017,,6.3,,1.0,0,0,0,0,Gregory Caruso,Documentary,United States,English,91.0,Documentary
Patton Oswalt: I Love Everything,(2020 TV Special),TV-MA,66 min,Comedy,6.4,Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.,"['Marcus Raboy', '| ', '    Stars:', 'Patton Oswalt, ', 'Bob Rubin']","1,315",3468,2020,,,,1.0,0,0,0,0,Marcus Raboy,Comedy,United States,English,,Comedy
Wanda Sykes: Not Normal,(2019 TV Special),TV-MA,60 min,Comedy,7.2,"Wanda Sykes, delivers a sharp-witted and hilarious critique on the state of the world, addressing her perspective on the current political and cultural climate, which she can only describe as, well - not normal.","['Linda Mendoza', '| ', '    Star:', 'Wanda Sykes']","1,865",1195,2019,,7.1,100%,1.0,0,0,0,0,Linda Mendoza,Comedy,United States,,60.0,Comedy
Whitney Cummings: Can I Touch It?,(2019 TV Special),TV-MA,59 min,Comedy,6.5,"In her fourth stand-up special, Whitney Cummings returns to her hometown of Washington, D.C., and riffs on modern feminism, relationships, technology and, of course, sex robots. She also brings a very special guest to say hi.","['Marcus Raboy', '| ', '    Star:', 'Whitney Cummings']","1,817",1859,2019,,6.4,,1.0,0,0,0,0,Marcus Raboy,Comedy,,,59.0,Comedy
Bruno & Boots: Go Jump in the Pool,(2016 TV Movie),,91 min,Family,5.8,"Bruno Walton and Melvin ""Boots"" O'Neal are the most infamous troublemakers at MacDonald Hall - a supposedly prestigious school for boys. Bruno, the brains behind the operation, has managed ...                See full summary »","['Vivieno Caldinelli', '| ', '    Stars:', 'Jonny Gray, ', 'Callan Potter, ', 'Peter Keleghan, ', 'Hannah Vandenbygaart']",321,2959,2016,,5.7,,1.0,0,0,0,0,Vivieno Caldinelli,Family,Canada,,91.0,Family
Two Catalonias,(2018),TV-MA,116 min,"Documentary, History, News",6.4,"A documentary that tackles the ideological conflicts surrounding the December 21 election in the country, to the push for sovereignty and subsequent parliamentary declaration of independence and the aftermath.","['Álvaro Longoria, ', 'Gerardo Olivares', '| ', '    Stars:', 'Luis María Anson, ', 'Inés Arrimadas, ', 'Elsa Artadi, ', 'Antoni Bassas']",716,3213,2018,,6.5,,1.0,0,0,0,0,"Álvaro Longoria,Gerardo Olivares","Documentary,History,News",Spain,"Spanish,Catalan,English",116.0,Documentary
Joshua: Teenager vs. Superpower,(2017),TV-14,79 min,Documentary,7.3,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the ...                See full summary »","['Joe Piscatella', '| ', '    Stars:', 'Agnes Chow, ', ""Joshua 'Chi-Fung' Wong""]","1,573",742,2017,16+,7.0,93%,1.0,0,0,0,0,Joe Piscatella,Documentary,United States,"English,Cantonese",79.0,Documentary
Ellen DeGeneres: Relatable,(2018 TV Special),TV-MA,68 min,Comedy,6.5,Comedian Ellen DeGeneres performs a live stand-up comedy set in Seattle.,"['Joel Gallen, ', 'Tig Notaro', '| ', '    Stars:', 'Laura Dern, ', 'Ellen DeGeneres, ', 'Eddie Vedder, ', 'Jill Vedder']","4,726",809,2018,,6.5,92%,1.0,0,0,0,0,"Joel Gallen,Tig Notaro",Comedy,United States,English,68.0,Comedy
The Figurine,(2009),PG-13,120 min,"Horror, Thriller",4.3,The synopsis of The Figurine (Araromire) shows that it is a story of two buddies and a girl...all down on their luck have their lives changed when one of them discovers 'Araromire' a ...                See full summary »,"['Kunle Afolayan', '| ', '    Stars:', 'Wale Adebayo, ', 'Kate Adepegba, ', 'Kunle Afolayan, ', 'Funlola Aofiyebi']",255,2929,2009,,4.5,,1.0,0,0,0,0,Kunle Afolayan,Thriller,Nigeria,"English,Yoruba",120.0,Thriller
Sitara: Let Girls Dream,(2019),,15 min,"Animation, Short, Drama",7.2,"The short tells the story of Pari, a 14-year-old girl who dreams of becoming a pilot while growing up in a society that doesn't allow her to dream.",['Sharmeen Obaid-Chinoy'],663,1899,2019,,7.3,,1.0,0,0,0,0,Sharmeen Obaid-Chinoy,"Animation,Short","Pakistan,United States",English,15.0,Animation
