title,rating,Runtime
"Oh, Ramona!",4.8,109.0
System Crasher,7.8,125.0
SPF-18,3.2,75.0
Unicorn Store,5.6,92.0
Marfa Girl,5.2,105.0
The Beyond,4.9,87.0
XX,4.6,80.0
The Prince,4.6,
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,7.1,74.0
Dry Martina,5.8,95.0
Joshua,5.8,106.0
Lady Driver,5.7,104.0
Roped,5.4,91.0
Nothing to Hide,6.8,90.0
Tell Me Who I Am,7.6,85.0
Next Gen,6.6,106.0
The Angel,6.6,114.0
From the Dark,4.9,90.0
Happy as Lazzaro,7.5,128.0
American Factory,7.4,110.0
The Bling Ring,5.6,90.0
Blue Jay,7.2,80.0
Acts of Violence,5.3,86.0
The Ruthless,6.2,111.0
ARQ,6.3,88.0
Tune in for Love,7.1,122.0
The Duchess,6.7,110.0
Jarhead 2: Field of Fire,5.4,103.0
Wonder Park,5.8,85.0
Mascots,5.8,89.0
Blackout,5.9,153.0
Voyeur,6.1,98.0
Ugly,8.0,128.0
Gnome Alone,5.6,85.0
Sharknado 2: The Second One,4.0,95.0
Stree,7.5,128.0
Middle School: The Worst Years of My Life,6.0,92.0
Zapped,5.0,102.0
Father of the Year,5.2,94.0
Tag,6.1,100.0
Toc Toc,6.8,99.0
Mr. Roosevelt,6.2,90.0
The Invisible Guardian,6.4,129.0
Sweet Virginia,6.2,93.0
Edge of Fear,4.5,91.0
"My Teacher, My Obsession",4.4,90.0
Sextuplets,4.4,97.0
22 Bullets,6.6,117.0
Wheelman,6.4,82.0
Benji,6.3,87.0
A Fortunate Man,7.2,162.0
The Trap,4.3,62.0
The Devil Inside,4.2,83.0
Paddleton,7.1,89.0
Headshot,6.3,92.0
Holiday in the Wild,6.1,85.0
Saving Zoë,5.3,95.0
The Hurricane Heist,5.1,103.0
LBJ,6.5,98.0
A Christmas Prince,5.8,92.0
The Hard Way,4.8,109.0
Pandora,6.6,42.0
Catfight,5.9,95.0
When Angels Sleep,5.5,91.0
The Body,5.4,89.0
The Skin of the Wolf,5.8,110.0
True Memoirs of an International Assassin,5.9,98.0
After Porn Ends 3,5.4,86.0
Justice Served,4.7,102.0
Happy New Year,4.9,118.0
Palm Trees in the Snow,7.3,163.0
Irreplaceable You,6.4,96.0
I Still See You,5.8,98.0
Clinical,5.1,104.0
Houdini,7.3,174.0
The Gruffalo,7.5,27.0
The Princess Switch,6.0,101.0
Rocco,5.7,105.0
Bodies,3.6,60.0
The Photographer of Mauthausen,6.7,110.0
Mindhorn,6.3,89.0
A Shaun the Sheep Movie: Farmageddon,6.8,86.0
All Day and a Night,5.9,121.0
18 Presents,6.9,115.0
Animal,7.9,84.0
David Brent: Life on the Road,6.3,96.0
A Twelve-Year Night,7.5,122.0
Swearnet: The Movie,6.0,112.0
The Incredible Jessica James,6.5,85.0
Special Correspondents,5.9,101.0
Beats,6.3,101.0
The Land of Steady Habits,6.2,98.0
Hamlet,5.2,242.0
Isi & Ossi,6.4,113.0
I Am Jonas,7.0,82.0
Vault,5.4,99.0
Solo,5.0,135.0
The Holiday Calendar,5.7,95.0
A Cinderella Story: Christmas Wish,5.2,85.0
An Interview with God,5.8,97.0
The Main Event,4.8,101.0
The Last Laugh,5.6,98.0
Sky High,5.5,100.0
Once Upon a Time in London,5.4,111.0
First Match,6.4,102.0
The Knight Before Christmas,5.5,92.0
Girls with Balls,3.9,77.0
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.7,95.0
Heartthrob,5.4,86.0
The Sky Is Pink,7.6,143.0
iBoy,5.9,90.0
Gaga: Five Foot Two,7.0,100.0
The Drug King,6.2,139.0
A Sun,7.6,156.0
Luna Park,6.5,
OtherLife,6.2,96.0
The Edge of Democracy,7.3,121.0
The Most Hated Woman in America,6.1,91.0
Your Son,6.1,103.0
4 Moons,7.4,110.0
The Legacy of a Whitetail Deer Hunter,5.5,83.0
Mrs. Serial Killer,4.2,106.0
6 Balloons,5.9,74.0
Guilty,5.4,132.0
El Camino Christmas,5.7,89.0
Eerie,4.6,101.0
Coffee & Kareem,5.1,88.0
Take Me,6.1,83.0
The Outcasts,5.4,95.0
Atlantics,6.7,106.0
High Society,5.5,111.0
Small Crimes,5.8,95.0
Tallulah,6.7,111.0
May the Devil Take You,5.9,110.0
