title,year,duration,primary_genre,rating,vote_Range
The Windsors,(2016– ),30 min,Comedy,7.1,0-20000
Hemlock Grove,(2013–2015),46 min,Drama,7.0,40000-60000
The Mauritanian,(2021),129 min,Biography,7.4,40000-60000
Royalteen,(2022),107 min,Drama,5.3,0-20000
Kota Factory,(2019–2021),45 min,Comedy,9.1,60000-80000
Honest Thief,(2020),99 min,Action,6.0,40000-60000
How It Ends,(2018),113 min,Action,5.0,40000-60000
Triple 9,(2016),115 min,Action,6.3,60000-80000
Too Hot to Handle,(2020– ),40 min,Game-Show,4.7,0-20000
My Name,(2021),50 min,Action,7.8,20000-40000
Parallel Mothers,(2021),123 min,Drama,7.1,20000-40000
Clickbait,(2021),368 min,Crime,7.2,40000-60000
The Little Mermaid,(2018),85 min,Adventure,4.2,0-20000
The Innocent,(2021),467 min,Crime,7.8,20000-40000
Till Death,(I) (2021),88 min,Thriller,5.8,20000-40000
Criminal: UK,(2019–2020),43 min,Crime,7.6,0-20000
Master of None,(2015– ),30 min,Comedy,8.2,60000-80000
Knightfall,(2017–2019),60 min,Action,6.8,20000-40000
The Babysitter: Killer Queen,(2020),101 min,Comedy,5.8,20000-40000
Easy,(2016–2019),30 min,Comedy,6.9,0-20000
Party of Five,(1994–2000),60 min,Drama,6.8,0-20000
Living with Yourself,(2019),26 min,Comedy,7.2,20000-40000
The Last Letter from Your Lover,(2021),110 min,Drama,6.7,0-20000
Jupiter's Legacy,(2021),56 min,Action,6.7,20000-40000
Tokyo Revengers,(2021– ),24 min,Animation,8.1,0-20000
Sword Art Online,(2012– ),24 min,Animation,7.6,40000-60000
Another Life,(2019–2021),43 min,Adventure,5.2,20000-40000
The Musketeers,(2014–2016),55 min,Adventure,7.8,20000-40000
MILF,(2018),101 min,Comedy,4.8,0-20000
Steins;Gate,(2011–2015),24 min,Animation,8.8,60000-80000
The Thundermans,(2013–2018),23 min,Action,5.6,0-20000
The Politician,(2019– ),42 min,Comedy,7.5,20000-40000
The Guernsey Literary and Potato Peel Pie Society,(2018),124 min,Drama,7.3,40000-60000
The Hand of God,(2021),130 min,Drama,7.3,40000-60000
The Dig,(2021),112 min,Biography,7.1,60000-80000
The Ten Commandments,(1956),220 min,Adventure,7.9,60000-80000
Hotel Mumbai,(2018),123 min,Action,7.6,60000-80000
Safe,(2018),356 min,Crime,7.2,40000-60000
Twenty Five Twenty One,(2022),70 min,Drama,8.6,0-20000
Young Guns II,(1990),104 min,Action,6.5,20000-40000
Maggie,(I) (2015),95 min,Drama,5.6,40000-60000
Salem,(2014–2017),60 min,Drama,7.1,20000-40000
Guardian: The Lonely and Great God,(2016–2017),120 min,Comedy,8.6,20000-40000
Pose,(2018–2021),60 min,Drama,8.6,20000-40000
Tommy Boy,(1995),97 min,Adventure,7.1,80000-100000
ZeroZeroZero,(2019–2020),60 min,Crime,8.2,20000-40000
Gypsy,(2017),51 min,Drama,6.8,0-20000
